#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2011.11.01 17:30,sell,1,0.04,106.914,111.914,6.915,,
2,2011.11.01 18:30,close,1,0.01,107.325,111.914,6.915,-4.14,9995.86
3,2011.11.01 18:30,sell,2,0.03,106.914,111.914,6.915,,
4,2011.11.02 01:30,close,2,0.01,107.177,111.914,6.915,-2.68,9993.18
5,2011.11.02 01:30,sell,3,0.02,106.914,111.914,6.915,,
6,2011.11.02 03:00,close,3,0.01,107.556,111.914,6.915,-6.5,9986.68
7,2011.11.02 03:00,sell,4,0.01,106.914,111.914,6.915,,
8,2011.11.02 03:30,close,4,0.01,107.645,111.914,6.915,-7.4,9979.28
9,2011.11.02 03:30,buy,5,0.04,107.645,102.645,207.644,,
10,2011.11.02 04:00,close,5,0.01,107.377,102.645,207.644,-2.7,9976.58
11,2011.11.02 04:00,buy,6,0.03,107.645,102.645,207.644,,
12,2011.11.02 08:00,close,6,0.01,107.069,102.645,207.644,-5.8,9970.78
13,2011.11.02 08:00,buy,7,0.02,107.645,102.645,207.644,,
14,2011.11.02 08:00,close,7,0.01,107.069,102.645,207.644,-5.8,9964.98
15,2011.11.02 08:00,buy,8,0.01,107.645,102.645,207.644,,
16,2011.11.02 08:00,close,8,0.01,107.069,102.645,207.644,-5.8,9959.18
17,2011.11.02 08:00,sell,9,0.04,107.069,112.069,7.07,,
18,2011.11.02 09:03,close,9,0.01,107.019,112.069,7.07,0.51,9959.69
19,2011.11.02 09:03,sell,10,0.03,107.069,112.069,7.07,,
20,2011.11.02 12:30,close,10,0.01,107.209,112.069,7.07,-1.41,9958.28
21,2011.11.02 12:30,sell,11,0.02,107.069,112.069,7.07,,
22,2011.11.02 12:30,close,11,0.01,107.209,112.069,7.07,-1.41,9956.87
23,2011.11.02 12:30,sell,12,0.01,107.069,112.069,7.07,,
24,2011.11.04 03:00,close,12,0.01,107.838,112.069,7.07,-7.91,9948.96
25,2011.11.04 03:00,buy,13,0.04,107.838,102.838,207.837,,
26,2011.11.04 04:41,close,13,0.01,107.941,102.838,207.837,1.03,9949.99
27,2011.11.04 04:41,buy,14,0.03,107.838,102.838,207.837,,
28,2011.11.04 10:00,close,14,0.01,107.652,102.838,207.837,-1.88,9948.11
29,2011.11.04 10:00,buy,15,0.02,107.838,102.838,207.837,,
30,2011.11.04 12:30,close,15,0.01,107.602,102.838,207.837,-2.38,9945.73
31,2011.11.04 12:30,buy,16,0.01,107.838,102.838,207.837,,
32,2011.11.04 12:30,close,16,0.01,107.602,102.838,207.837,-2.38,9943.35
33,2011.11.04 12:30,sell,17,0.04,107.602,112.602,7.603,,
34,2011.11.04 13:00,close,17,0.01,107.683,112.602,7.603,-0.82,9942.53
35,2011.11.04 13:00,sell,18,0.03,107.602,112.602,7.603,,
36,2011.11.04 14:30,close,18,0.01,107.823,112.602,7.603,-2.23,9940.3
37,2011.11.04 14:30,sell,19,0.02,107.602,112.602,7.603,,
38,2011.11.04 14:30,close,19,0.01,107.823,112.602,7.603,-2.23,9938.07
39,2011.11.04 14:30,sell,20,0.01,107.602,112.602,7.603,,
40,2011.11.04 15:00,close,20,0.01,107.863,112.602,7.603,-2.63,9935.44
41,2011.11.04 15:00,buy,21,0.04,107.863,102.863,207.862,,
